"gene","in_locked_panel_152","origin_six","chromosome","pseudoautosomal","max_detection_pct","n_atlases_evaluable","n_annotation_rows"
"PLA2G2A",TRUE,FALSE,"chr1",FALSE,34.7442,3,1
"PTPN1",TRUE,FALSE,"chr20",FALSE,31.7826,3,1
"PTPN11",TRUE,FALSE,"chr12",FALSE,37.8816,3,1
"PTPN2",TRUE,FALSE,"chr18",FALSE,38.5059,3,1
"REG1A",TRUE,FALSE,"chr2",FALSE,64.3487,3,1
"SOCS1",TRUE,FALSE,"chr16",FALSE,75,3,1
"STAM2",TRUE,FALSE,"chr2",FALSE,20.4556,3,1
"STAT2",TRUE,FALSE,"chr12",FALSE,31.7477,3,1
"STAT3",TRUE,FALSE,"chr17",FALSE,74.4956,3,1
"TGFB1",TRUE,FALSE,"chr19",FALSE,51.2751,3,1
"TLR2",TRUE,FALSE,"chr4",FALSE,41.8567,3,1
"TNF",TRUE,FALSE,"chr6",FALSE,18.0851,3,1
"TNFRSF12A",TRUE,FALSE,"chr16",FALSE,73.8865,3,1
"TNFRSF1A",TRUE,FALSE,"chr12",FALSE,79.3536,3,1
"TNFRSF1B",TRUE,FALSE,"chr1",FALSE,44.0554,3,1
"TNFRSF21",TRUE,FALSE,"chr6",FALSE,47.834,3,1
"ABCA1",TRUE,FALSE,"chr9",FALSE,33.561,3,1
"AKAP12",TRUE,FALSE,"chr6",FALSE,54.2477,3,1
"BCL2L1",TRUE,FALSE,"chr20",FALSE,59.1079,3,1
"BCL6",TRUE,FALSE,"chr3",FALSE,24.4729,3,1
"CCND1",TRUE,FALSE,"chr11",FALSE,66.165,3,1
"CCND3",TRUE,FALSE,"chr6",FALSE,49.0108,3,1
"CDK4",TRUE,FALSE,"chr12",FALSE,51.4662,3,1
"CDKN1A",TRUE,FALSE,"chr6",FALSE,60.2742,3,1
"CDKN1B",TRUE,FALSE,"chr12",FALSE,39.679,3,1
"CFLAR",TRUE,FALSE,"chr2",FALSE,73.2223,3,1
"CISH",TRUE,FALSE,"chr3",FALSE,13.2533,3,1
"COPS5",TRUE,FALSE,"chr8",FALSE,49.3738,3,1
"CXCL8",TRUE,FALSE,"chr4",FALSE,49.1572,3,1
"DDIT3",TRUE,FALSE,"chr12",FALSE,42.6344,3,1
"DNMT1",TRUE,FALSE,"chr19",FALSE,36.5169,3,1
"EPAS1",TRUE,FALSE,"chr2",FALSE,95.906,3,1
"ESR2",TRUE,FALSE,"chr14",FALSE,2.3091,3,1
"ETV6",TRUE,FALSE,"chr12",FALSE,30.7015,3,1
"FGG",TRUE,FALSE,"chr4",FALSE,37.3303,3,1
"FGL1",TRUE,FALSE,"chr8",FALSE,31.9328,3,1
"FOS",TRUE,FALSE,"chr14",FALSE,89.8815,3,1
"GREB1",TRUE,FALSE,"chr2",FALSE,3.0928,3,1
"HSPA4",TRUE,FALSE,"chr5",FALSE,43.0257,3,1
"HSPB1",TRUE,FALSE,"chr7",FALSE,97.9391,3,1
"ICAM1",TRUE,FALSE,"chr19",FALSE,41.3908,3,1
"IKBKE",TRUE,FALSE,"chr1",FALSE,16.8633,3,1
"JAK2",TRUE,FALSE,"chr9",FALSE,12.2654,3,1
"JUNB",TRUE,FALSE,"chr19",FALSE,93.2223,3,1
"KRT17",TRUE,FALSE,"chr17",FALSE,31.5165,3,1
"LGALS3BP",TRUE,FALSE,"chr17",FALSE,85.4044,3,1
"LTBP1",TRUE,FALSE,"chr2",FALSE,47.2348,3,1
"MCL1",TRUE,FALSE,"chr1",FALSE,81.2093,3,1
"MDC1",TRUE,FALSE,"chr6",FALSE,13.3939,3,1
"MMP1",TRUE,FALSE,"chr11",FALSE,29.5505,3,1
"MMP7",TRUE,FALSE,"chr11",FALSE,84.0485,3,1
"MUC1",TRUE,FALSE,"chr1",FALSE,83.8113,3,1
"NME1",TRUE,FALSE,"chr17",FALSE,63.8567,3,1
"OAS1",TRUE,FALSE,"chr12",FALSE,43.039,3,1
"PHB",TRUE,FALSE,"chr17",FALSE,72.3944,3,1
"POU2F1",TRUE,FALSE,"chr1",FALSE,25.8665,3,1
"PPARA",TRUE,FALSE,"chr22",FALSE,30.5681,3,1
"PRDM1",TRUE,FALSE,"chr6",FALSE,41.87,3,1
"PROS1",TRUE,FALSE,"chr3",FALSE,47.8355,3,1
"PSMB5",TRUE,FALSE,"chr14",FALSE,71.9882,3,1
"PTGS2",TRUE,FALSE,"chr1",FALSE,28.1983,3,1
"PTPN6",TRUE,FALSE,"chr12",FALSE,50.4072,3,1
"ROR1",TRUE,FALSE,"chr1",FALSE,7.0775,3,1
"S100A11",TRUE,FALSE,"chr1",FALSE,99.6946,3,1
"S1PR1",TRUE,FALSE,"chr1",FALSE,83.4084,3,1
"SALL4",TRUE,FALSE,"chr20",FALSE,2.2144,3,1
"SHH",TRUE,FALSE,"chr7",FALSE,13.1572,3,1
"STK11",TRUE,FALSE,"chr19",FALSE,33.1049,3,1
"TNFRSF10B",TRUE,FALSE,"chr8",FALSE,28.0808,3,1
"TP53",TRUE,FALSE,"chr17",FALSE,36.0117,3,1
"TP63",TRUE,FALSE,"chr3",FALSE,1.3491,3,1
"VDR",TRUE,FALSE,"chr12",FALSE,29.6822,3,1
"VEGFA",TRUE,FALSE,"chr6",FALSE,50.0305,3,1
"VEGFB",TRUE,FALSE,"chr11",FALSE,33.36,3,1
"ZFP36",TRUE,FALSE,"chr19",FALSE,92.9873,3,1
"A2M",TRUE,FALSE,"chr12",FALSE,99.334,3,1
"HMOX1",TRUE,FALSE,"chr22",FALSE,42.9764,3,1
"IFNAR1",TRUE,FALSE,"chr21",FALSE,38.0607,3,1
"IRF1",TRUE,FALSE,"chr5",FALSE,58.2498,3,1
"MYD88",TRUE,FALSE,"chr3",FALSE,27.4926,3,1
"PIM1",TRUE,FALSE,"chr6",FALSE,26.0321,3,1
"STAT1",TRUE,FALSE,"chr2",FALSE,51.4474,3,1
"TYK2",TRUE,FALSE,"chr19",FALSE,19.6412,3,1
